key_count,commands_per_replica,submit_interval,announce_timeout,seed,conflict_rate_pct,avg_latency_jiffies,fast_path_rate_pct
32,20,1,500,42,99.1667,209.2847,5.0000
32,20,1,500,43,97.5000,236.6667,5.0000
32,20,1,500,44,96.6667,234.1750,8.3333
32,20,1,500,45,96.6667,235.7542,5.0000
32,20,1,500,46,97.5000,226.4833,5.8333
32,20,19,500,42,84.1667,159.4972,45.0000
32,20,19,500,43,88.3333,196.8903,41.6667
32,20,19,500,44,87.5000,197.5750,39.1667
32,20,19,500,45,87.5000,189.1792,40.0000
32,20,19,500,46,90.8333,188.0681,40.8333
32,20,24,500,42,74.1667,148.2694,53.3333
32,20,24,500,43,83.3333,189.9014,44.1667
32,20,24,500,44,83.3333,185.3194,49.1667
32,20,24,500,45,83.3333,176.4139,46.6667
32,20,24,500,46,85.8333,172.4306,50.8333
32,20,31,500,42,71.6667,143.4194,53.3333
32,20,31,500,43,78.3333,180.1903,50.8333
32,20,31,500,44,74.1667,174.5528,52.5000
32,20,31,500,45,75.8333,168.3708,53.3333
32,20,31,500,46,81.6667,170.7667,49.1667
32,20,37,500,42,63.3333,130.8583,64.1667
32,20,37,500,43,69.1667,178.0250,49.1667
32,20,37,500,44,70.0000,165.3375,58.3333
32,20,37,500,45,75.8333,160.0347,56.6667
32,20,37,500,46,73.3333,163.2903,55.0000
32,20,46,500,42,55.8333,128.3250,65.0000
32,20,46,500,43,64.1667,168.7694,55.8333
32,20,46,500,44,65.0000,159.2472,62.5000
32,20,46,500,45,68.3333,158.2597,57.5000
32,20,46,500,46,65.0000,158.2278,56.6667
32,20,59,500,42,45.8333,122.4097,69.1667
32,20,59,500,43,58.3333,157.3389,61.6667
32,20,59,500,44,53.3333,159.7125,63.3333
32,20,59,500,45,57.5000,152.6750,60.8333
32,20,59,500,46,57.5000,157.4278,55.8333
32,20,78,500,42,32.5000,115.6903,74.1667
32,20,78,500,43,46.6667,156.2056,61.6667
32,20,78,500,44,43.3333,143.2500,75.0000
32,20,78,500,45,47.5000,145.4306,64.1667
32,20,78,500,46,40.8333,141.1042,69.1667
32,20,114,500,42,18.3333,108.1097,82.5000
32,20,114,500,43,36.6667,144.8500,71.6667
32,20,114,500,44,31.6667,136.0875,80.0000
32,20,114,500,45,36.6667,132.4708,75.0000
32,20,114,500,46,30.8333,127.0236,80.8333
32,20,200,500,42,10.8333,104.5375,85.8333
32,20,200,500,43,24.1667,131.4931,82.5000
32,20,200,500,44,18.3333,131.9806,83.3333
32,20,200,500,45,22.5000,123.0111,83.3333
32,20,200,500,46,16.6667,121.2403,86.6667
32,20,20000,500,42,0.0000,90.0000,100.0000
32,20,20000,500,43,0.8333,110.9167,99.1667
32,20,20000,500,44,0.0000,110.0000,100.0000
32,20,20000,500,45,0.0000,100.6667,100.0000
32,20,20000,500,46,0.0000,104.3333,100.0000
