region,latitude,longitude
us-east-1,39.0438,-77.4874
us-west-2,45.5155,-122.6789
ca-central-1,45.5017,-73.5673
eu-west-1,53.3498,-6.2603
eu-central-1,50.1109,8.6821
ap-northeast-1,35.6762,139.6503
ap-southeast-1,1.3521,103.8198
ap-southeast-2,-33.8688,151.2093
